Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
58.0,Self Enquiry,3.0,36.0,Small Business,Male,3.0,5.0,Super Deluxe,3.0,Married,5.0,0.0,3.0,1.0,1.0,AVP,32796.0,0
43.0,Company Invited,1.0,30.0,Salaried,Male,3.0,5.0,Deluxe,3.0,Unmarried,3.0,0.0,3.0,1.0,2.0,Manager,23010.0,0
28.0,Company Invited,1.0,12.0,Salaried,Male,2.0,4.0,Basic,3.0,Married,2.0,1.0,4.0,1.0,1.0,Executive,17703.0,0
36.0,Self Enquiry,1.0,6.0,Large Business,Female,3.0,5.0,Standard,5.0,Married,3.0,1.0,2.0,1.0,2.0,Senior Manager,25252.0,0
30.0,Company Invited,3.0,20.0,Large Business,Fe Male,3.0,4.0,Deluxe,4.0,Unmarried,7.0,0.0,3.0,0.0,2.0,Manager,24443.0,0
31.0,Self Enquiry,1.0,30.0,Small Business,Female,3.0,4.0,Deluxe,5.0,Unmarried,2.0,0.0,5.0,1.0,0.0,Manager,21812.0,0
50.0,Company Invited,3.0,18.0,Small Business,Fe Male,3.0,3.0,Standard,3.0,Unmarried,5.0,0.0,5.0,1.0,2.0,Senior Manager,24208.0,0
50.0,Company Invited,1.0,6.0,Salaried,Female,3.0,3.0,King,4.0,Married,4.0,1.0,1.0,0.0,2.0,VP,33172.0,0
35.0,Self Enquiry,1.0,26.0,Small Business,Male,4.0,4.0,Basic,3.0,Married,2.0,0.0,3.0,0.0,1.0,Executive,21339.0,0
42.0,Self Enquiry,2.0,8.0,Large Business,Male,2.0,3.0,Basic,3.0,Married,1.0,1.0,4.0,1.0,0.0,Executive,17696.0,0
20.0,Self Enquiry,1.0,10.0,Small Business,Female,4.0,4.0,Basic,4.0,Single,3.0,0.0,3.0,1.0,3.0,Executive,20161.0,1
37.0,Self Enquiry,1.0,8.0,Salaried,Male,3.0,4.0,Basic,3.0,Single,7.0,1.0,3.0,0.0,2.0,Executive,17090.0,1
55.0,Self Enquiry,3.0,9.0,Salaried,Female,3.0,5.0,Standard,3.0,Married,8.0,0.0,5.0,1.0,2.0,Senior Manager,29364.0,0
37.0,Company Invited,1.0,6.0,Small Business,Female,1.0,3.0,Standard,3.0,Married,3.0,1.0,3.0,0.0,0.0,Senior Manager,28603.0,1
31.0,Company Invited,1.0,10.0,Small Business,Female,4.0,4.0,Basic,3.0,Married,3.0,0.0,3.0,1.0,2.0,Executive,20761.0,0
32.0,Self Enquiry,3.0,25.0,Salaried,Male,3.0,5.0,Standard,3.0,Married,4.0,0.0,3.0,1.0,2.0,Senior Manager,24610.0,1
47.0,Company Invited,3.0,10.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Single,4.0,0.0,4.0,0.0,2.0,Manager,17976.0,0
36.0,Company Invited,3.0,16.0,Small Business,Male,2.0,3.0,Standard,3.0,Unmarried,2.0,0.0,1.0,1.0,1.0,Senior Manager,24980.0,0
34.0,Self Enquiry,3.0,16.0,Salaried,Female,2.0,3.0,Basic,3.0,Married,2.0,1.0,1.0,0.0,1.0,Executive,17220.0,0
45.0,Self Enquiry,1.0,35.0,Large Business,Male,2.0,3.0,Standard,3.0,Divorced,5.0,1.0,5.0,1.0,0.0,Senior Manager,24380.0,0
36.0,Company Invited,1.0,9.0,Small Business,Male,1.0,3.0,Basic,4.0,Single,5.0,0.0,4.0,1.0,0.0,Executive,17088.0,0
39.0,Self Enquiry,1.0,7.0,Salaried,Fe Male,3.0,4.0,Standard,3.0,Unmarried,6.0,1.0,1.0,0.0,2.0,Senior Manager,26539.0,1
35.0,Self Enquiry,3.0,11.0,Salaried,Male,4.0,4.0,Standard,3.0,Married,4.0,1.0,4.0,0.0,3.0,Senior Manager,28391.0,1
29.0,Self Enquiry,1.0,13.0,Salaried,Male,2.0,3.0,Basic,5.0,Single,4.0,0.0,4.0,0.0,0.0,Executive,17062.0,0
35.0,Self Enquiry,3.0,7.0,Large Business,Male,4.0,5.0,Standard,3.0,Divorced,3.0,1.0,1.0,1.0,2.0,Senior Manager,25761.0,0
41.0,Self Enquiry,1.0,9.0,Small Business,Female,4.0,5.0,Deluxe,3.0,Divorced,8.0,0.0,5.0,1.0,1.0,Manager,22126.0,0
39.0,Self Enquiry,3.0,14.0,Small Business,Female,3.0,2.0,Deluxe,5.0,Married,3.0,1.0,3.0,1.0,2.0,Manager,24283.0,0
26.0,Self Enquiry,1.0,9.0,Small Business,Male,4.0,2.0,Basic,5.0,Unmarried,2.0,0.0,2.0,1.0,3.0,Executive,22102.0,1
37.0,Self Enquiry,3.0,17.0,Small Business,Male,3.0,5.0,Standard,5.0,Married,2.0,0.0,5.0,0.0,1.0,Senior Manager,25772.0,1
36.0,Company Invited,3.0,14.0,Salaried,Male,3.0,4.0,Standard,5.0,Unmarried,2.0,0.0,1.0,0.0,0.0,Senior Manager,22587.0,0
34.0,Company Invited,3.0,17.0,Small Business,Male,3.0,5.0,Deluxe,3.0,Unmarried,5.0,0.0,3.0,1.0,2.0,Manager,23360.0,0
34.0,Self Enquiry,1.0,12.0,Salaried,Male,3.0,5.0,Standard,3.0,Married,6.0,0.0,3.0,1.0,2.0,Senior Manager,25797.0,0
29.0,Company Invited,1.0,31.0,Large Business,Male,4.0,5.0,Standard,5.0,Unmarried,3.0,0.0,2.0,0.0,1.0,Senior Manager,27400.0,0
45.0,Self Enquiry,1.0,26.0,Small Business,Male,3.0,3.0,Super Deluxe,3.0,Divorced,1.0,1.0,3.0,0.0,0.0,AVP,28496.0,0
59.0,Company Invited,1.0,9.0,Salaried,Male,3.0,5.0,Basic,3.0,Married,2.0,1.0,1.0,1.0,1.0,Executive,21058.0,0
36.0,Self Enquiry,1.0,11.0,Salaried,Male,4.0,4.0,Basic,3.0,Married,3.0,0.0,4.0,1.0,2.0,Executive,20629.0,0
36.0,Self Enquiry,2.0,14.0,Salaried,Male,3.0,4.0,Basic,5.0,Married,1.0,0.0,1.0,0.0,1.0,Executive,17342.0,1
52.0,Company Invited,1.0,7.0,Small Business,Fe Male,2.0,5.0,Standard,5.0,Unmarried,5.0,0.0,1.0,1.0,1.0,Senior Manager,26162.0,0
49.0,Self Enquiry,1.0,11.0,Salaried,Male,4.0,5.0,Standard,3.0,Single,2.0,0.0,5.0,1.0,2.0,Senior Manager,29677.0,0
37.0,Self Enquiry,1.0,14.0,Salaried,Male,4.0,4.0,Basic,4.0,Single,4.0,0.0,1.0,0.0,3.0,Executive,20691.0,0
35.0,Self Enquiry,1.0,17.0,Salaried,Male,3.0,4.0,Basic,4.0,Married,3.0,0.0,1.0,1.0,2.0,Executive,20686.0,0
29.0,Self Enquiry,3.0,33.0,Small Business,Female,2.0,3.0,Standard,3.0,Married,2.0,0.0,3.0,0.0,0.0,Senior Manager,22639.0,0
33.0,Self Enquiry,1.0,10.0,Small Business,Female,4.0,4.0,Deluxe,5.0,Divorced,3.0,0.0,2.0,1.0,2.0,Manager,25403.0,0
35.0,Self Enquiry,1.0,33.0,Small Business,Female,2.0,4.0,Basic,5.0,Single,2.0,0.0,4.0,0.0,1.0,Executive,17559.0,0
22.0,Self Enquiry,1.0,17.0,Small Business,Female,2.0,3.0,Basic,4.0,Divorced,2.0,0.0,2.0,1.0,0.0,Executive,17244.0,0
30.0,Self Enquiry,3.0,16.0,Small Business,Female,3.0,6.0,Basic,4.0,Unmarried,3.0,0.0,1.0,1.0,2.0,Executive,21438.0,0
32.0,Self Enquiry,1.0,8.0,Salaried,Male,3.0,3.0,Basic,4.0,Single,2.0,0.0,3.0,1.0,1.0,Executive,16393.0,0
35.0,Self Enquiry,1.0,9.0,Salaried,Male,4.0,5.0,Basic,3.0,Married,5.0,0.0,5.0,1.0,3.0,Executive,21446.0,0
41.0,Self Enquiry,3.0,6.0,Small Business,Male,2.0,1.0,Standard,5.0,Married,2.0,0.0,3.0,1.0,1.0,Senior Manager,23392.0,0
39.0,Self Enquiry,3.0,10.0,Salaried,Male,4.0,4.0,Standard,3.0,Married,2.0,0.0,2.0,1.0,2.0,Senior Manager,29287.0,1
46.0,Company Invited,3.0,33.0,Salaried,Female,4.0,4.0,Deluxe,5.0,Married,4.0,0.0,1.0,0.0,3.0,Manager,22964.0,1
25.0,Self Enquiry,2.0,29.0,Salaried,Male,3.0,6.0,Basic,3.0,Married,3.0,0.0,1.0,0.0,2.0,Executive,20233.0,0
33.0,Self Enquiry,1.0,13.0,Salaried,Male,3.0,4.0,Basic,3.0,Unmarried,5.0,0.0,1.0,0.0,2.0,Executive,21716.0,0
55.0,Self Enquiry,1.0,9.0,Large Business,Female,3.0,4.0,Standard,3.0,Divorced,2.0,0.0,4.0,1.0,1.0,Senior Manager,32227.0,0
42.0,Company Invited,3.0,32.0,Small Business,Female,3.0,3.0,Super Deluxe,4.0,Divorced,6.0,0.0,3.0,1.0,2.0,AVP,28525.0,1
35.0,Self Enquiry,1.0,13.0,Small Business,Male,3.0,4.0,Basic,5.0,Unmarried,4.0,0.0,2.0,1.0,2.0,Executive,21638.0,0
48.0,Self Enquiry,3.0,35.0,Small Business,Female,3.0,3.0,Standard,3.0,Married,4.0,0.0,4.0,0.0,1.0,Senior Manager,27504.0,0
37.0,Self Enquiry,3.0,10.0,Small Business,Fe Male,3.0,4.0,Deluxe,4.0,Unmarried,5.0,1.0,4.0,0.0,2.0,Manager,27956.0,0
28.0,Self Enquiry,1.0,23.0,Large Business,Female,3.0,4.0,Basic,4.0,Divorced,2.0,0.0,2.0,1.0,1.0,Executive,21489.0,0
26.0,Self Enquiry,3.0,34.0,Small Business,Male,3.0,3.0,Deluxe,4.0,Divorced,2.0,0.0,3.0,1.0,0.0,Manager,21272.0,0
49.0,Self Enquiry,1.0,7.0,Salaried,Female,3.0,5.0,Super Deluxe,5.0,Divorced,2.0,0.0,4.0,0.0,2.0,AVP,34080.0,0
35.0,Company Invited,1.0,31.0,Salaried,Female,3.0,3.0,Basic,4.0,Married,2.0,1.0,3.0,1.0,1.0,Executive,17022.0,0
33.0,Self Enquiry,1.0,11.0,Salaried,Female,4.0,5.0,Deluxe,3.0,Married,3.0,0.0,4.0,1.0,2.0,Manager,24840.0,0
39.0,Self Enquiry,1.0,16.0,Salaried,Female,4.0,4.0,Basic,3.0,Single,3.0,0.0,2.0,1.0,2.0,Executive,20966.0,0
45.0,Self Enquiry,1.0,15.0,Salaried,Male,4.0,2.0,Basic,3.0,Married,4.0,1.0,3.0,1.0,1.0,Executive,21496.0,0
37.0,Self Enquiry,1.0,31.0,Small Business,Female,2.0,4.0,Deluxe,3.0,Married,1.0,0.0,3.0,0.0,1.0,Manager,20731.0,0
35.0,Self Enquiry,1.0,24.0,Salaried,Female,3.0,4.0,Basic,3.0,Unmarried,3.0,1.0,5.0,1.0,1.0,Executive,23216.0,0
42.0,Self Enquiry,3.0,7.0,Small Business,Male,3.0,2.0,Standard,5.0,Married,3.0,0.0,3.0,1.0,2.0,Senior Manager,27070.0,0
27.0,Company Invited,1.0,7.0,Salaried,Female,4.0,6.0,Basic,3.0,Married,5.0,0.0,4.0,1.0,1.0,Executive,23042.0,0
29.0,Self Enquiry,1.0,15.0,Salaried,Female,4.0,4.0,Basic,3.0,Unmarried,3.0,0.0,4.0,1.0,2.0,Executive,21988.0,0
32.0,Company Invited,1.0,7.0,Salaried,Fe Male,4.0,2.0,Standard,4.0,Unmarried,3.0,0.0,3.0,1.0,3.0,Senior Manager,26124.0,0
41.0,Self Enquiry,1.0,8.0,Salaried,Female,2.0,5.0,Basic,3.0,Married,5.0,1.0,3.0,0.0,0.0,Executive,17778.0,0
33.0,Company Invited,1.0,9.0,Salaried,Female,2.0,3.0,Basic,3.0,Divorced,2.0,1.0,5.0,1.0,1.0,Executive,17909.0,0
48.0,Self Enquiry,1.0,26.0,Small Business,Male,2.0,3.0,Basic,3.0,Divorced,5.0,0.0,2.0,0.0,0.0,Executive,17259.0,0
37.0,Self Enquiry,1.0,21.0,Salaried,Male,4.0,4.0,Deluxe,3.0,Married,2.0,1.0,5.0,1.0,1.0,Manager,25264.0,0
44.0,Company Invited,1.0,29.0,Small Business,Male,3.0,3.0,Deluxe,4.0,Married,5.0,0.0,3.0,0.0,1.0,Manager,17042.0,0
37.0,Company Invited,1.0,31.0,Salaried,Female,3.0,4.0,Deluxe,4.0,Married,2.0,0.0,3.0,1.0,2.0,Manager,24352.0,0
35.0,Self Enquiry,3.0,28.0,Salaried,Male,4.0,2.0,Deluxe,3.0,Unmarried,3.0,0.0,3.0,0.0,1.0,Manager,24015.0,0
34.0,Self Enquiry,3.0,6.0,Small Business,Male,3.0,1.0,Deluxe,3.0,Married,1.0,0.0,5.0,1.0,2.0,Manager,24725.0,0
46.0,Company Invited,3.0,16.0,Salaried,Female,4.0,5.0,Deluxe,3.0,Married,3.0,0.0,3.0,1.0,3.0,Manager,24271.0,0
29.0,Self Enquiry,1.0,22.0,Salaried,Male,3.0,4.0,Basic,3.0,Married,3.0,0.0,4.0,0.0,1.0,Executive,20885.0,0
25.0,Self Enquiry,1.0,31.0,Small Business,Male,3.0,4.0,Basic,4.0,Unmarried,2.0,0.0,5.0,1.0,1.0,Executive,22275.0,1
41.0,Self Enquiry,3.0,11.0,Small Business,Male,4.0,5.0,Standard,3.0,Divorced,2.0,0.0,2.0,1.0,1.0,Senior Manager,29533.0,1
25.0,Self Enquiry,3.0,10.0,Salaried,Female,4.0,4.0,Deluxe,3.0,Unmarried,2.0,0.0,2.0,1.0,1.0,Manager,23255.0,0
35.0,Self Enquiry,3.0,22.0,Small Business,Male,3.0,3.0,Standard,4.0,Married,1.0,0.0,1.0,1.0,1.0,Senior Manager,23020.0,0
31.0,Company Invited,1.0,9.0,Large Business,Fe Male,4.0,5.0,Basic,5.0,Unmarried,2.0,0.0,3.0,0.0,2.0,Executive,23646.0,0
38.0,Self Enquiry,3.0,23.0,Small Business,Male,4.0,5.0,Deluxe,3.0,Married,6.0,0.0,5.0,1.0,3.0,Manager,25012.0,1
54.0,Self Enquiry,1.0,9.0,Large Business,Female,4.0,5.0,Standard,3.0,Married,2.0,0.0,5.0,1.0,3.0,Senior Manager,28847.0,0
52.0,Self Enquiry,3.0,11.0,Salaried,Male,3.0,3.0,Standard,4.0,Unmarried,1.0,1.0,4.0,1.0,1.0,Senior Manager,23446.0,1
20.0,Self Enquiry,1.0,10.0,Small Business,Female,4.0,4.0,Basic,4.0,Single,3.0,0.0,3.0,1.0,1.0,Executive,20161.0,0
19.0,Self Enquiry,1.0,15.0,Salaried,Male,2.0,3.0,Basic,5.0,Single,2.0,0.0,3.0,0.0,1.0,Executive,17552.0,0
45.0,Company Invited,1.0,31.0,Salaried,Male,3.0,4.0,Basic,3.0,Married,5.0,1.0,5.0,0.0,2.0,Executive,21839.0,0
33.0,Self Enquiry,3.0,11.0,Small Business,Male,3.0,6.0,Standard,3.0,Married,3.0,0.0,1.0,1.0,1.0,Senior Manager,29078.0,0
33.0,Company Invited,1.0,11.0,Salaried,Female,3.0,3.0,Standard,4.0,Married,7.0,0.0,3.0,1.0,1.0,Senior Manager,26878.0,0
48.0,Self Enquiry,1.0,16.0,Salaried,Female,4.0,4.0,Basic,3.0,Single,6.0,0.0,3.0,1.0,1.0,Executive,20783.0,1
28.0,Self Enquiry,1.0,15.0,Small Business,Female,3.0,3.0,Basic,3.0,Married,6.0,0.0,3.0,0.0,0.0,Executive,17377.0,0
46.0,Self Enquiry,3.0,8.0,Small Business,Female,2.0,3.0,King,5.0,Single,4.0,0.0,2.0,0.0,1.0,VP,33947.0,0
31.0,Self Enquiry,3.0,23.0,Salaried,Male,4.0,4.0,Deluxe,3.0,Divorced,2.0,0.0,3.0,0.0,3.0,Manager,23979.0,0
27.0,Self Enquiry,1.0,31.0,Large Business,Male,4.0,6.0,Basic,3.0,Single,3.0,1.0,3.0,1.0,3.0,Executive,21018.0,0
36.0,Company Invited,3.0,17.0,Large Business,Female,3.0,3.0,Standard,3.0,Married,1.0,0.0,5.0,0.0,2.0,Senior Manager,24738.0,1
22.0,Company Invited,1.0,17.0,Salaried,Female,3.0,5.0,Basic,3.0,Unmarried,3.0,0.0,4.0,1.0,1.0,Executive,21303.0,0
24.0,Self Enquiry,1.0,7.0,Salaried,Male,3.0,4.0,Basic,3.0,Divorced,3.0,0.0,4.0,0.0,2.0,Executive,19901.0,0
26.0,Company Invited,1.0,12.0,Salaried,Male,3.0,1.0,Basic,3.0,Married,1.0,0.0,4.0,1.0,1.0,Executive,17544.0,1
29.0,Self Enquiry,3.0,20.0,Small Business,Fe Male,3.0,4.0,Deluxe,3.0,Unmarried,5.0,1.0,5.0,1.0,2.0,Manager,28532.0,0
30.0,Company Invited,3.0,18.0,Salaried,Male,3.0,4.0,Basic,5.0,Divorced,2.0,0.0,5.0,1.0,0.0,Executive,17033.0,0
50.0,Self Enquiry,1.0,10.0,Salaried,Male,3.0,3.0,King,4.0,Married,4.0,0.0,5.0,1.0,0.0,VP,34144.0,0
53.0,Self Enquiry,1.0,6.0,Salaried,Male,3.0,4.0,Standard,4.0,Single,2.0,0.0,3.0,1.0,2.0,Senior Manager,29123.0,0
31.0,Self Enquiry,1.0,8.0,Salaried,Male,2.0,3.0,Basic,3.0,Married,1.0,1.0,4.0,1.0,1.0,Executive,17695.0,0
38.0,Company Invited,3.0,8.0,Salaried,Male,2.0,4.0,Deluxe,3.0,Married,4.0,0.0,5.0,1.0,1.0,Manager,20249.0,0
37.0,Company Invited,1.0,25.0,Salaried,Male,3.0,2.0,Basic,3.0,Married,6.0,0.0,5.0,1.0,2.0,Executive,22366.0,0
42.0,Self Enquiry,1.0,6.0,Salaried,Female,2.0,4.0,Deluxe,3.0,Divorced,1.0,1.0,3.0,0.0,1.0,Manager,21062.0,0
57.0,Self Enquiry,1.0,14.0,Large Business,Male,4.0,4.0,Basic,3.0,Married,2.0,0.0,4.0,1.0,3.0,Executive,21017.0,0
33.0,Self Enquiry,3.0,11.0,Salaried,Female,3.0,4.0,Basic,4.0,Married,4.0,0.0,3.0,1.0,2.0,Executive,22609.0,0
42.0,Self Enquiry,1.0,26.0,Salaried,Male,3.0,4.0,Deluxe,5.0,Married,4.0,0.0,2.0,1.0,1.0,Manager,21750.0,0
30.0,Self Enquiry,2.0,13.0,Small Business,Male,3.0,5.0,Basic,4.0,Married,3.0,0.0,3.0,1.0,2.0,Executive,21482.0,0
30.0,Self Enquiry,1.0,8.0,Small Business,Female,2.0,4.0,Deluxe,3.0,Unmarried,6.0,1.0,2.0,1.0,1.0,Manager,21877.0,0
42.0,Company Invited,2.0,11.0,Salaried,Male,3.0,6.0,Deluxe,4.0,Married,8.0,0.0,5.0,0.0,2.0,Manager,25108.0,0
41.0,Self Enquiry,2.0,25.0,Salaried,Male,3.0,2.0,Basic,5.0,Married,2.0,0.0,1.0,1.0,2.0,Executive,21065.0,1
35.0,Company Invited,1.0,10.0,Salaried,Male,3.0,4.0,Deluxe,3.0,Unmarried,2.0,0.0,1.0,1.0,1.0,Manager,26434.0,1
44.0,Company Invited,1.0,14.0,Small Business,Male,3.0,2.0,Basic,3.0,Married,6.0,0.0,4.0,1.0,1.0,Executive,20767.0,1
53.0,Company Invited,3.0,8.0,Small Business,Female,2.0,4.0,Standard,4.0,Married,3.0,0.0,1.0,1.0,0.0,Senior Manager,22525.0,0
31.0,Self Enquiry,1.0,12.0,Large Business,Female,3.0,4.0,Basic,5.0,Married,7.0,0.0,5.0,1.0,2.0,Executive,21882.0,0
30.0,Self Enquiry,1.0,15.0,Small Business,Male,4.0,5.0,Deluxe,3.0,Divorced,3.0,1.0,3.0,0.0,1.0,Manager,23734.0,1
40.0,Company Invited,1.0,9.0,Large Business,Female,4.0,4.0,Standard,3.0,Single,2.0,0.0,1.0,1.0,3.0,Senior Manager,29616.0,0
25.0,Company Invited,3.0,31.0,Small Business,Male,3.0,4.0,Basic,3.0,Married,2.0,0.0,4.0,1.0,2.0,Executive,21078.0,0
41.0,Company Invited,1.0,16.0,Small Business,Female,3.0,4.0,Standard,3.0,Single,2.0,0.0,4.0,0.0,1.0,Senior Manager,32177.0,0
28.0,Self Enquiry,1.0,13.0,Salaried,Male,3.0,3.0,Basic,5.0,Unmarried,4.0,1.0,3.0,0.0,2.0,Executive,21674.0,0
59.0,Self Enquiry,1.0,8.0,Salaried,Female,3.0,4.0,Super Deluxe,3.0,Single,4.0,1.0,5.0,0.0,2.0,AVP,28726.0,0
51.0,Self Enquiry,1.0,13.0,Small Business,Male,2.0,4.0,Deluxe,3.0,Married,3.0,0.0,3.0,1.0,1.0,Manager,21132.0,1
35.0,Self Enquiry,3.0,16.0,Salaried,Female,4.0,4.0,Deluxe,3.0,Divorced,3.0,0.0,2.0,1.0,3.0,Manager,24392.0,0
44.0,Self Enquiry,1.0,13.0,Small Business,Female,2.0,4.0,Standard,3.0,Married,4.0,0.0,4.0,0.0,0.0,Senior Manager,25248.0,1
32.0,Self Enquiry,2.0,29.0,Salaried,Male,3.0,6.0,Basic,3.0,Married,3.0,0.0,1.0,0.0,2.0,Executive,28530.0,0
33.0,Self Enquiry,1.0,6.0,Salaried,Female,2.0,4.0,Deluxe,3.0,Unmarried,1.0,0.0,4.0,1.0,1.0,Manager,21949.0,0
26.0,Company Invited,1.0,6.0,Salaried,Female,2.0,3.0,Deluxe,4.0,Married,2.0,0.0,5.0,1.0,1.0,Manager,21397.0,0
29.0,Self Enquiry,1.0,12.0,Large Business,Male,3.0,4.0,Basic,3.0,Unmarried,3.0,1.0,2.0,1.0,1.0,Executive,22119.0,1
39.0,Self Enquiry,1.0,9.0,Salaried,Male,3.0,4.0,Deluxe,3.0,Married,2.0,0.0,1.0,1.0,2.0,Manager,25231.0,0
18.0,Self Enquiry,3.0,15.0,Small Business,Male,2.0,3.0,Basic,3.0,Single,2.0,0.0,5.0,0.0,1.0,Executive,16611.0,1
46.0,Self Enquiry,1.0,16.0,Salaried,Male,3.0,4.0,Deluxe,4.0,Married,2.0,0.0,4.0,1.0,1.0,Manager,21026.0,0
30.0,Self Enquiry,1.0,30.0,Salaried,Male,3.0,2.0,Basic,3.0,Divorced,3.0,0.0,2.0,1.0,2.0,Executive,21378.0,0
42.0,Self Enquiry,1.0,8.0,Small Business,Female,2.0,4.0,Basic,5.0,Married,1.0,1.0,4.0,1.0,0.0,Executive,17593.0,0
44.0,Self Enquiry,1.0,15.0,Salaried,Female,4.0,4.0,Deluxe,3.0,Married,6.0,1.0,1.0,1.0,1.0,Manager,23200.0,0
30.0,Self Enquiry,1.0,6.0,Salaried,Male,2.0,4.0,Deluxe,3.0,Married,2.0,1.0,1.0,1.0,1.0,Manager,20126.0,0
33.0,Self Enquiry,3.0,22.0,Small Business,Female,3.0,3.0,Deluxe,5.0,Single,6.0,0.0,3.0,1.0,0.0,Manager,20324.0,0
41.0,Company Invited,1.0,23.0,Salaried,Male,4.0,4.0,Basic,3.0,Married,2.0,0.0,3.0,1.0,3.0,Executive,22222.0,0
53.0,Self Enquiry,1.0,13.0,Large Business,Male,4.0,4.0,Deluxe,5.0,Married,5.0,1.0,4.0,1.0,2.0,Manager,24255.0,0
45.0,Self Enquiry,1.0,10.0,Salaried,Male,3.0,4.0,Basic,5.0,Divorced,6.0,0.0,5.0,1.0,2.0,Executive,21040.0,0
28.0,Self Enquiry,1.0,27.0,Small Business,Male,2.0,3.0,Basic,3.0,Married,2.0,0.0,1.0,0.0,0.0,Executive,17713.0,0
23.0,Self Enquiry,1.0,12.0,Salaried,Male,3.0,3.0,Basic,4.0,Married,3.0,1.0,4.0,0.0,1.0,Executive,21006.0,1
19.0,Company Invited,1.0,15.0,Small Business,Male,4.0,4.0,Basic,3.0,Single,3.0,0.0,5.0,0.0,1.0,Executive,20582.0,1
39.0,Self Enquiry,1.0,19.0,Small Business,Female,3.0,4.0,Super Deluxe,4.0,Married,7.0,1.0,3.0,1.0,2.0,AVP,32123.0,1
28.0,Company Invited,1.0,10.0,Small Business,Male,4.0,5.0,Basic,3.0,Married,3.0,1.0,2.0,0.0,3.0,Executive,21244.0,0
40.0,Self Enquiry,3.0,9.0,Salaried,Male,3.0,2.0,Standard,3.0,Unmarried,2.0,0.0,2.0,1.0,2.0,Senior Manager,26558.0,0
41.0,Company Invited,3.0,15.0,Salaried,Male,2.0,5.0,Super Deluxe,3.0,Married,1.0,0.0,5.0,1.0,1.0,AVP,21151.0,0
44.0,Company Invited,1.0,7.0,Salaried,Female,3.0,4.0,Deluxe,3.0,Married,6.0,0.0,1.0,1.0,2.0,Manager,24240.0,0
29.0,Self Enquiry,1.0,9.0,Small Business,Male,3.0,6.0,Basic,3.0,Married,7.0,1.0,3.0,1.0,2.0,Executive,22142.0,1
50.0,Self Enquiry,1.0,7.0,Large Business,Female,3.0,5.0,Super Deluxe,3.0,Single,2.0,1.0,3.0,0.0,1.0,AVP,32642.0,0
52.0,Self Enquiry,1.0,11.0,Salaried,Male,3.0,4.0,Basic,3.0,Divorced,2.0,1.0,2.0,1.0,2.0,Executive,21139.0,0
24.0,Self Enquiry,3.0,9.0,Large Business,Male,4.0,4.0,Basic,5.0,Married,5.0,0.0,3.0,1.0,2.0,Executive,21000.0,0
35.0,Company Invited,1.0,17.0,Small Business,Male,3.0,4.0,Basic,3.0,Married,3.0,1.0,3.0,1.0,1.0,Executive,22493.0,0
20.0,Self Enquiry,1.0,10.0,Large Business,Male,2.0,3.0,Basic,5.0,Single,2.0,0.0,3.0,1.0,0.0,Executive,17973.0,0
37.0,Self Enquiry,2.0,20.0,Salaried,Male,3.0,4.0,Basic,4.0,Married,6.0,0.0,3.0,1.0,2.0,Executive,20821.0,0
42.0,Company Invited,3.0,16.0,Salaried,Male,3.0,6.0,Super Deluxe,3.0,Married,2.0,0.0,5.0,1.0,2.0,AVP,24829.0,0
54.0,Company Invited,2.0,32.0,Salaried,Female,1.0,2.0,Super Deluxe,3.0,Single,3.0,1.0,3.0,1.0,0.0,AVP,32328.0,0
29.0,Company Invited,3.0,6.0,Small Business,Female,2.0,3.0,Standard,3.0,Divorced,2.0,0.0,3.0,1.0,0.0,Senior Manager,22918.0,0
30.0,Self Enquiry,3.0,17.0,Small Business,Male,3.0,5.0,Deluxe,3.0,Unmarried,2.0,0.0,4.0,1.0,1.0,Manager,24547.0,0
31.0,Self Enquiry,3.0,13.0,Large Business,Male,3.0,2.0,Deluxe,3.0,Divorced,5.0,0.0,2.0,1.0,0.0,Manager,21929.0,0
25.0,Company Invited,3.0,20.0,Salaried,Female,4.0,4.0,Basic,4.0,Divorced,3.0,0.0,1.0,0.0,1.0,Executive,20711.0,0
36.0,Company Invited,1.0,11.0,Salaried,Male,3.0,5.0,Basic,3.0,Married,3.0,0.0,1.0,1.0,2.0,Executive,21054.0,1
25.0,Company Invited,1.0,9.0,Large Business,Female,3.0,4.0,Basic,3.0,Unmarried,3.0,1.0,3.0,1.0,2.0,Executive,22438.0,0
25.0,Self Enquiry,1.0,7.0,Salaried,Male,3.0,5.0,Deluxe,3.0,Unmarried,3.0,0.0,3.0,1.0,2.0,Manager,23295.0,0
34.0,Company Invited,2.0,29.0,Salaried,Female,2.0,3.0,Standard,5.0,Married,1.0,1.0,3.0,1.0,0.0,Senior Manager,24950.0,0
33.0,Self Enquiry,3.0,14.0,Small Business,Male,4.0,4.0,Deluxe,3.0,Divorced,6.0,0.0,5.0,1.0,2.0,Manager,27882.0,0
32.0,Company Invited,1.0,11.0,Salaried,Female,2.0,1.0,Basic,3.0,Single,4.0,1.0,1.0,0.0,1.0,Executive,17432.0,1
